top - 22:44:57 up  7:27,  1 user,  load average: 0.53, 0.32, 0.19
Tasks: 231 total,   1 running, 225 sleeping,   5 stopped,   0 zombie
%Cpu(s): 10.7 us,  7.1 sy,  0.0 ni, 75.0 id,  0.0 wa,  0.0 hi,  7.1 si,  0.0 st 
MiB Mem :   6739.2 total,   1911.7 free,   2184.7 used,   2403.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   4554.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2394 ganesh    20   0  318460   6492   5980 S   0.0   0.1   0:00.09 gvfs-mt+
   2400 ganesh    20   0  318440   6356   5844 S   0.0   0.1   0:00.09 gvfs-go+
   2412 ganesh    20   0  760384  30092  26124 S   0.0   0.4   0:00.23 evoluti+
   2421 ganesh    20   0   39136  11800  10392 S   0.0   0.2   0:00.59 snapd-d+
   2473 ganesh    20   0  245436   7164   6524 S   0.0   0.1   0:01.34 ibus-en+
   2504 ganesh    20   0  230232   5672   5160 S   0.0   0.1   0:00.11 dconf-s+
   2513 ganesh    20   0  429652  30712  22116 S   0.0   0.4   0:00.43 snapd-d+
   2542 ganesh    20   0  618108   8944   7792 S   0.0   0.1   0:00.32 gvfsd-t+
   2594 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2616 ganesh    39  19  892432  29160  18544 S   0.0   0.4   0:02.63 tracker+
   2649 ganesh    20   0 2603776  27516  22404 S   0.0   0.4   0:00.43 gjs
   2660 ganesh    20   0  841456  14888  12072 S   0.0   0.2   0:01.97 xdg-des+
   2665 ganesh    20   0  244972   6080   5696 S   0.0   0.1   0:00.06 gvfsd-m+
   2669 ganesh    20   0  917828  41284  31172 S   0.0   0.6   0:00.58 xdg-des+
   2700 ganesh    20   0  425940  24924  18268 S   0.0   0.4   0:00.32 xdg-des+
   2779 ganesh    20   0  503712  33032  25736 S   0.0   0.5   0:01.93 update-+
   2982 ganesh    20   0   11.6g 760060 222116 S   0.0  11.0  12:27.43 firefox
   3140 ganesh    20   0   21124   3256   2968 S   0.0   0.0   0:00.03 crashhe+
   3256 ganesh    20   0  298916  33696  24864 S   0.0   0.5   0:00.51 forkser+
   3264 ganesh    20   0  313312  39084  29396 S   0.0   0.6   0:00.13 Socket +
   3290 ganesh    20   0 2461708  99244  67596 S   0.0   1.4   0:02.29 WebExte+
   3299 ganesh    20   0  446344  46132  34652 S   0.0   0.7   0:00.34 RDD Pro+
   3335 ganesh    20   0 2483276 136488  83880 S   0.0   2.0   0:44.92 Privile+
   3368 ganesh    20   0 2471144 109340  67752 S   0.0   1.6   2:12.67 Isolate+
   3375 ganesh    20   0 3024468 587464 106032 S   0.0   8.5   3:45.14 Isolate+
   3380 ganesh    20   0 3047164 454688 113000 S   0.0   6.6   8:19.92 Isolate+
   3423 ganesh    20   0 1839548  25492  16552 S   0.0   0.4   0:02.67 snap
